ID,Marca,Modelo,Precio,Talla
1,Nike,Air Max,150,42
2,Adidas,Ultraboost,180,41
3,Reebok,Classic Leather,90,39
4,Puma,Suede,70,40
5,New Balance,574,120,43
6,Under Armour,Charged Assert 8,100,44
7,Vans,Old Skool,80,42
8,Converse,Chuck Taylor All Star,60,41
9,Saucony,Grid 9000,130,43
10,Asics,Gel-Kayano 27,160,42
11,Salomon,Speedcross 5,140,44
12,Brooks,Glycerin 18,170,41
13,Hoka One One,Bondi 7,150,43
14,Mizuno,Wave Rider 24,130,42
15,Merrell,Moab 2 Ventilator,120,40
16,La Sportiva,Wildcat,140,41
17,Inov-8,Terraultra G 270,160,42
18,Topo Athletic,Ultrafly 3,130,43
19,Altra,Lone Peak 4.5,150,44
20,Salming,Trail 6,120,42
